K+	PY	0.87739267	5760300
KATR	PY	0.97416025	16394700
BO	PY	0.98325359	1329300
BS	PY	0.99159391	841890
A*	PY	0.91630181	1196370
1	PY	0.92630952	1772400
3	PY	0.60383007	1683780
Bw	PY	0.98514685	310170
4	PY	0.65378151	1506540
Nscrm	PY	0.90143071	1683780
A	PY	0.65703539	6513570
C	PY	0.96406721	487410
B	PY	0.97807222	23307060
H	PY	0.96014709	753270
K	PY	0.81581975	1639470
A_titi	PY	0.96085557	4342380
W	PY	0.90984239	1905330
2	PY	0.59856045	3323250
KA	PY	0.95947100	2215500
h	PY	0.95580931	6424950
W+	PY	0.92852356	1462230
p	PY	0.64344107	5627370
s	PY	0.96958069	6247710
r	PY	0.97401861	32745090
x	PY	0.98109907	88620
PY	K+	0.68513001	3538470
KATR	K+	0.94342230	6204900
BO	K+	0.73363944	503100
BS	K+	0.86934061	318630
A*	K+	0.86026414	452790
1	K+	0.93511777	670800
3	K+	0.67998462	637260
Bw	K+	0.90056223	117390
4	K+	0.73852818	570180
Nscrm	K+	0.63389198	637260
A	K+	0.70134148	2465190
C	K+	0.78166640	184470
B	K+	0.81234030	8821020
H	K+	0.78771616	285090
K	K+	0.50886880	620490
A_titi	K+	0.81276271	1643460
W	K+	0.71729556	721110
2	K+	0.63665514	1257750
KA	K+	0.92735838	838500
h	K+	0.84994757	2431650
W+	K+	0.67658517	553410
p	K+	0.67550463	2129790
s	K+	0.71427828	2364570
r	K+	0.88468817	12393030
x	K+	0.78151461	33540
PY	KATR	0.93077448	28807830
K+	KATR	0.90778820	17748900
BO	KATR	0.91936131	4095900
BS	KATR	0.92421754	2594070
A*	KATR	0.85559950	3686310
1	KATR	0.64934318	5461200
3	KATR	0.89300289	5188140
Bw	KATR	0.94368794	955710
4	KATR	0.86909083	4642020
Nscrm	KATR	0.90040438	5188140
A	KATR	0.91477774	20069910
C	KATR	0.86352517	1501830
B	KATR	0.89903791	71814780
H	KATR	0.81143080	2321010
K	KATR	0.90078015	5051610
A_titi	KATR	0.92661335	13379940
W	KATR	0.83791534	5870790
2	KATR	0.90141097	10239750
KA	KATR	0.62782216	6826500
h	KATR	0.83557430	19796850
W+	KATR	0.87293546	4505490
p	KATR	0.93588217	17339310
s	KATR	0.88829722	19250730
r	KATR	0.88685266	100895670
x	KATR	0.82515564	273060
PY	BO	0.83928747	183570
K+	BO	0.63773652	113100
KATR	BO	0.86309724	321900
BS	BO	0.60096794	16530
A*	BO	0.84125160	23490
1	BO	0.91640805	34800
3	BO	0.86200847	33060
Bw	BO	0.64384236	6090
4	BO	0.86778229	29580
Nscrm	BO	0.71899577	33060
A	BO	0.82726562	127890
C	BO	0.69843260	9570
B	BO	0.61128447	457620
H	BO	0.74685598	14790
K	BO	0.71491146	32190
A_titi	BO	0.64082806	85260
W	BO	0.76514301	37410
2	BO	0.81321073	65250
KA	BO	0.87816092	43500
h	BO	0.71146254	126150
W+	BO	0.68526646	28710
p	BO	0.77369898	110490
s	BO	0.64058042	122670
r	BO	0.77907548	642930
x	BO	0.60977011	1740
PY	BS	0.92983842	72162
K+	BS	0.80164193	44460
KATR	BS	0.91211475	126540
BO	BS	0.64288499	10260
A*	BS	0.91931990	9234
1	BS	0.96600877	13680
3	BS	0.94313635	12996
Bw	BS	0.46491228	2394
4	BS	0.94564843	11628
Nscrm	BS	0.83156356	12996
A	BS	0.93248996	50274
C	BS	0.82775120	3762
B	BS	0.57304939	179892
H	BS	0.86102511	5814
K	BS	0.86541805	12654
A_titi	BS	0.51891634	33516
W	BS	0.88100095	14706
2	BS	0.90799220	25650
KA	BS	0.94017544	17100
h	BS	0.74615850	49590
W+	BS	0.82181464	11286
p	BS	0.81397062	43434
s	BS	0.68512297	48222
r	BS	0.84529038	252738
x	BS	0.57309942	684
PY	A*	0.68612360	148122
K+	A*	0.71609687	91260
KATR	A*	0.76999307	259740
BO	A*	0.81804368	21060
BS	A*	0.86954566	13338
1	A*	0.70316952	28080
3	A*	0.64275004	26676
Bw	A*	0.90618641	4914
4	A*	0.63771577	23868
Nscrm	A*	0.74595142	26676
A	A*	0.62723608	103194
C	A*	0.72286972	7722
B	A*	0.79911551	369252
H	A*	0.61764706	11934
K	A*	0.67328867	25974
A_titi	A*	0.84549974	68796
W	A*	0.61236997	30186
2	A*	0.66358974	52650
KA	A*	0.71381766	35100
h	A*	0.83170252	101790
W+	A*	0.68009151	23166
p	A*	0.73046638	89154
s	A*	0.74517589	98982
r	A*	0.81732070	518778
x	A*	0.79914530	1404
PY	1	0.87572913	329160
K+	1	0.93625740	202800
KATR	1	0.70718295	577200
BO	1	0.98700855	46800
BS	1	0.99493927	29640
A*	1	0.85966287	42120
3	1	0.84745277	59280
Bw	1	0.99597070	10920
4	1	0.81689291	53040
Nscrm	1	0.93888327	59280
A	1	0.88266614	229320
C	1	0.93199301	17160
B	1	0.97361314	820560
H	1	0.85407240	26520
K	1	0.89909910	57720
A_titi	1	0.98350340	152880
W	1	0.86223912	67080
2	1	0.87264957	117000
KA	1	0.54903846	78000
h	1	0.89947834	226200
W+	1	0.89976690	51480
p	1	0.92730668	198120
s	1	0.95697400	219960
r	1	0.93549582	1152840
x	1	0.97403846	3120
PY	3	0.72621736	296666
K+	3	0.90888500	182780
KATR	3	0.99326054	520220
BO	3	0.99573257	42180
BS	3	0.99943850	26714
